"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 10 12:08:52 GMT 2023","Tue Jan 10 12:08:53 GMT 2023","623","All Test Suite","All Classes Test with Firefox","keyPresses.KeyPressesTest","keyPresses.KeyPressesTest","keyPressesTest","keyPressesTest",""
"passed","Tue Jan 10 12:08:47 GMT 2023","Tue Jan 10 12:08:49 GMT 2023","2154","All Test Suite","All Classes Test with Firefox","login.LoginTest","login.LoginTest","successfulLoginTest","successfulLoginTest",""
"passed","Tue Jan 10 12:08:42 GMT 2023","Tue Jan 10 12:08:44 GMT 2023","1882","All Test Suite","All Classes Test with Chrome","keyPresses.KeyPressesTest","keyPresses.KeyPressesTest","keyPressesTest","keyPressesTest",""
"passed","Tue Jan 10 12:08:46 GMT 2023","Tue Jan 10 12:08:48 GMT 2023","1543","All Test Suite","All Classes Test with Chrome","login.LoginTest","login.LoginTest","successfulLoginTest","successfulLoginTest",""
"failed","Tue Jan 10 12:08:47 GMT 2023","Tue Jan 10 12:08:48 GMT 2023","1153","All Test Suite","All Classes Test with Firefox","simpleTest.FailingTest","simpleTest.FailingTest","failingTest","failingTest",""
"failed","Tue Jan 10 12:08:42 GMT 2023","Tue Jan 10 12:08:43 GMT 2023","1188","All Test Suite","All Classes Test with Chrome","simpleTest.FailingTest","simpleTest.FailingTest","failingTest","failingTest",""
