"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 05 08:22:42 GMT 2023","Thu Jan 05 08:22:44 GMT 2023","1407","All Test Suite","All Classes Test with Chrome","simpleTest.FailingTest","simpleTest.FailingTest","failingTest","failingTest",""
"passed","Thu Jan 05 08:22:43 GMT 2023","Thu Jan 05 08:22:45 GMT 2023","2003","All Test Suite","All Classes Test with Chrome","keyPresses.KeyPressesTest","keyPresses.KeyPressesTest","keyPressesTest","keyPressesTest",""
"passed","Thu Jan 05 08:22:48 GMT 2023","Thu Jan 05 08:22:50 GMT 2023","2162","All Test Suite","All Classes Test with Firefox","keyPresses.KeyPressesTest","keyPresses.KeyPressesTest","keyPressesTest","keyPressesTest",""
"failed","Thu Jan 05 08:22:55 GMT 2023","Thu Jan 05 08:22:56 GMT 2023","519","All Test Suite","All Classes Test with Firefox","simpleTest.FailingTest","simpleTest.FailingTest","failingTest","failingTest",""
"passed","Thu Jan 05 08:22:47 GMT 2023","Thu Jan 05 08:22:49 GMT 2023","1823","All Test Suite","All Classes Test with Chrome","login.LoginTest","login.LoginTest","successfulLoginTest","successfulLoginTest",""
"passed","Thu Jan 05 08:22:48 GMT 2023","Thu Jan 05 08:22:51 GMT 2023","2906","All Test Suite","All Classes Test with Firefox","login.LoginTest","login.LoginTest","successfulLoginTest","successfulLoginTest",""
